company,line,station,norm_company,norm_line,norm_station
札幌市営地下鉄,地下鉄東西線,南郷１３丁目,札幌市営地下鉄,地下鉄東西線,南郷13丁目
札幌市営地下鉄,地下鉄東西線,南郷１８丁目,札幌市営地下鉄,地下鉄東西線,南郷18丁目
札幌市営地下鉄,地下鉄東西線,大谷地,札幌市営地下鉄,地下鉄東西線,大谷地
札幌市営地下鉄,地下鉄東西線,ひばりが丘,札幌市営地下鉄,地下鉄東西線,ひばりが丘
札幌市営地下鉄,地下鉄東西線,新さっぽろ,札幌市営地下鉄,地下鉄東西線,新さっぽろ
JR,ＪＲ五能線,北金ケ沢,jr,五能線,北金ケ沢
JR,ＪＲ五能線,鰺ケ沢,jr,五能線,鰺ケ沢
JR,ＪＲ奥羽本線,福島,jr,奥羽本線,福島
JR,ＪＲ奥羽本線,笹木野,jr,奥羽本線,笹木野
JR,ＪＲ奥羽本線,庭坂,jr,奥羽本線,庭坂
JR,ＪＲ奥羽本線,関根,jr,奥羽本線,関根
JR,ＪＲ奥羽本線,置賜,jr,奥羽本線,置賜
JR,ＪＲ奥羽本線,高畠,jr,奥羽本線,高畠
JR,ＪＲ奥羽本線,赤湯,jr,奥羽本線,赤湯
JR,ＪＲ奥羽本線,羽前中山,jr,奥羽本線,羽前中山
JR,ＪＲ奥羽本線,かみのやま温泉,jr,奥羽本線,かみのやま温泉
JR,ＪＲ奥羽本線,茂吉記念館前,jr,奥羽本線,茂吉記念館前
JR,ＪＲ奥羽本線,山形,jr,奥羽本線,山形
JR,ＪＲ奥羽本線,羽前千歳,jr,奥羽本線,羽前千歳
JR,ＪＲ奥羽本線,南出羽,jr,奥羽本線,南出羽
JR,ＪＲ奥羽本線,漆山,jr,奥羽本線,漆山
JR,ＪＲ奥羽本線,天童,jr,奥羽本線,天童
JR,ＪＲ奥羽本線,神町,jr,奥羽本線,神町
JR,ＪＲ奥羽本線,東根,jr,奥羽本線,東根
JR,ＪＲ奥羽本線,村山,jr,奥羽本線,村山
JR,ＪＲ奥羽本線,袖崎,jr,奥羽本線,袖崎
JR,ＪＲ奥羽本線,大石田,jr,奥羽本線,大石田
JR,ＪＲ奥羽本線,北大石田,jr,奥羽本線,北大石田
JR,ＪＲ奥羽本線,芦沢,jr,奥羽本線,芦沢
JR,ＪＲ奥羽本線,新庄,jr,奥羽本線,新庄
JR,ＪＲ奥羽本線,羽前豊里,jr,奥羽本線,羽前豊里
